id,stateabb,ccode,year,major
1046,SKN,60,1991,0
1047,SKN,60,1992,0
1048,SKN,60,1993,0
1049,SKN,60,1994,0
1050,SKN,60,1995,0
1051,SKN,60,1996,0
1052,SKN,60,1997,0
1053,SKN,60,1998,0
1054,SKN,60,1999,0
1055,SKN,60,2000,0
1056,SKN,60,2001,0
1057,SKN,60,2002,0
1058,SKN,60,2003,0
1059,SKN,60,2004,0
1060,SKN,60,2005,0
1061,SKN,60,2006,0
1062,SKN,60,2007,0
1063,SKN,60,2008,0
1064,SKN,60,2009,0
1065,SKN,60,2010,0
1066,SKN,60,2011,0
1067,SKN,60,2012,0
1068,SKN,60,2013,0
1069,SKN,60,2014,0
1070,MEX,70,1831,0
1071,MEX,70,1832,0
1072,MEX,70,1833,0
1073,MEX,70,1834,0
1074,MEX,70,1835,0
1075,MEX,70,1836,0
1076,MEX,70,1837,0
